Function,Parameters,Type,Definition,Folder
generate_knowledgebase,notes_df,dataframe,Dataframe containing Notes from Google. Default is none and it will pull directly from Google.,archive.py
generate_knowledgebase,definition_df,dataframe,Dataframe containing Definitions from Google. Default is none and it will pull directly from Google.,archive.py
generate_knowledgebase,manual_object_df,dataframe,"Dataframe containining Dataframe of Parameters, generated from Python Process _____, which converts lists in objects_manual.py.",archive.py
generate_knowledgebase,auto_object_df,,,archive.py
generate_knowledgebase,export_location,str,"Name of File to export excel file to. If Blank, returns nothing",archive.py
generate_objects_automated_py,links_df,df,"Data from Google Sheets with Location of CSV and Links. If Nothing, it will pull from Google.",archive.py
generate_objects_automated_py,consolidated_df,df,"Dataset created from extract_consolidated_raw_dataset.py. If nothing, it will pull from Local Source.",archive.py
generate_objects_automated_py,dot_py_documentation,df,"Dataset created from _______, representing Python String Documentation. If nothing, it will pull from local Source.",archive.py
generate_objects_automated_py,definition_df,df,Data from Google Sheets. If nothing will pull from Google.,archive.py
generate_objects_automated_py,method,,,archive.py
extract_consolidated_raw_dataset,df_dict,dict,Dictionary of files to be included.,archive.py
extract_consolidated_raw_dataset,export_location,str,"Location to where CSV file is to be exported. If left Blank, will not export a CSV.",archive.py
visualize_dataframe_in_notebook,df,dataframe,Any DataFrame,object_rendering.py
visualize_dataframe_in_notebook,show_as_number,list,"List of Columns which are to be displayed as format :,.2f",object_rendering.py
visualize_dataframe_in_notebook,show_as_currency,list,"List of Columns which are to be displayed as format $:,.2f",object_rendering.py
visualize_dataframe_in_notebook,show_as_currency_without_dec,list,"List of Columns which are to be displayed as format $:,.0f",object_rendering.py
visualize_dataframe_in_notebook,show_as_percentage,list,List of Columns which are to be displayed as format :.2f%,object_rendering.py
print_dict,d,dict,Any Dictionary.,object_rendering.py
print_dict,indent,float,Indent Required,object_rendering.py
create_short_form_ml_project_dict,df,dataframe,"Optional. DataFrame containing the Short Form ML Project definitions. If not provided, the knowledge base is loaded directly.",object_rendering.py
create_baseline_dictionary_for_project,d,dict,,object_rendering.py
create_baseline_dictionary_for_project,dict_name,str,,object_rendering.py
create_baseline_dictionary_for_project,blank_keys,list,,object_rendering.py
visualize_dict_as_docx,data,dict,Dictionary,object_rendering.py
visualize_dict_as_docx,output_file,str,Name of docx file.,object_rendering.py
visualize_dict_as_docx,split_pages,bool,True or False Flag to determine whether each 1st level key will be generated immediately after or split to a new page.,object_rendering.py
