Function,Definition,Parameters,Returns,Date Created,Date Last Modified,Process,Categorization,Usage,Notes,Required Functions,Folder
read_dot_py_doc_string,"Function which reads the Doc String of .py files, specifically looking for text which can be used to documents the function Name and Purpose.",['file'],DataFrame(s),28-Aug-26,28-Aug-26,TBD,TBD,df = read_dot_py_function_notes(),None,None,taxonomy_admin_functions.py
generate_objects_automated_py,Create Automated Python File,"['links_df', 'knowledge_base_df']",Dot Py File Required Function: None,29-Jun-26,28-Aug-26,TBD,TBD,"generate_objects_automated_py(links_df,consolidated_df)","20Jul Update included definition_df, specifically because certain values aren't being passed forward to consolidated_df, values where I do not want to manually maintain the
list, I want it to be included based on Automated Definition. Based on process this data isn't exposed, so when running this function the only way to access the list is
from the direct source. Slightly confusing perhaps could remove consolidated_df, can iterate.
24Jul. Updated Algo Classification to not print. Added 4 New Lists to Dict.
28Aug. Changed to meet new structure.",,taxonomy_admin_functions.py
read_directory,Function which reads reads a directory and returns a list of files included within,"['location', 'file_type', 'match_str']",Dataframe,3-Dec-25,3-Dec-25,OS Folder Management,Directory Management,"d_py_function =  '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/'
read_directory(d_py_function)",,,filesystem_tools.py
move_file_in_folder,"Function Created to Help Move Files Between Folders Directly in Python.
Function will validate that the Folders both exist and there currently isn't a file of the same name, to reduce risk of overwriting
unexpectedly. (There is a manual override).","['folder1', 'folder2', 'file_name', 'overwrite_without_validation']","None date_created:09-Feb-26 date_last_modified: 09-Feb-26 classification: OS Folder Management sub_classification: File Management folder1 = '/Users/derekdewald/Documents/Python/Github_Repo/JupyterNotebooks' folder2 = '/Users/derekdewald/Documents/Python/Github_Repo/Project Folder/Synthetic Member Dataset' move_file_in_folder(folder1,folder2,'Sythentic Member V3.ipynb')",,,,,,,,filesystem_tools.py
txt_to_python,Function Used to Import .txt or .py File into Python.,"['file_name', 'encoding']",Dataframe,3-Dec-25,3-Dec-25,OS Folder Management,File Management,"location = '/Users/derekdewald/Documents/Python/Github_Repo/d_py_functions/DFProcessing.py'
file = TextFileImport(location)",,,filesystem_tools.py
export_formatted_df_to_single_xlsx,Function Used to Simplify the required formating to a excel output from Python to Excel,"['df', 'file_name', 'sheet_name', 'index', 'freeze_header', 'column_formats']",TBD,28-Aug-26,28-Aug-26,TBD,TBD,TBD,None,None,filesystem_tools.py
extract_object_dot_py,Generate an Excel file of all parameters which are manually stored and maintained. File which is generated is used a input component for generate_knowledgebase.,"['object_dict', 'export_location']",df date_created:29-Jun-26 date_last_modified: 3-Jul-26 classification:TBD sub_classification:TBD,,,,,"manual_object_df(object_dict_manual,'/Users/derekdewald/Documents/Python/Github_Repo/Streamlit/Data/object_manual_published.xlsx')
update:
Added Definition as new record, added column definition.
To support Automated Object included dict Argument in Required definitions, removed default string",,,archive.py
ETL,Function which refreshes Organizational Processes and Files.,['print_'],objects_automated.py object_manual_published.xlsx object_auto_published.xlsx knowledge_base.xlsx defined_processes.xlsx consolidated_dataset.xlsx python_function_list.csv python_function_parameters.csv date_created:16-Jul-26 date_last_modified: 16-Jul-26 classification:ETL sub_classification: ETL,,,,,Example Function Call,,,archive.py
generate_knowledgebase,"Process Utilized to Combine Notes/ Definitions and Logic into Knowledge Base, which is utilized to Create, Processes, Parameters.","['notes_df', 'definition_df', 'manual_object_df', 'auto_object_df', 'export_location']",Excel File,02-Jul-26,22-Jul-26,Definition,Definition,"d = generate_knowledgebase(notes_df,definition_df,manual_object_df)
d = generate_knowledgebase()","22-Jul - Overhauled merge. Attempted to streamline, simplify and reduce duplication. Increase Visability.",,archive.py
generate_objects_automated_py,Create Automated Python File,"['links_df', 'consolidated_df', 'dot_py_documentation', 'definition_df', 'method']",Dot Py File,29-Jun-26,24-Jul-26,Documentation,Manual File Creator,"generate_objects_automated_py(links_df,consolidated_df)","20Jul Update included definition_df, specifically because certain values aren't being passed forward to consolidated_df, values where I do not want to manually maintain the
list, I want it to be included based on Automated Definition. Based on process this data isn't exposed, so when running this function the only way to access the list is
from the direct source. Slightly confusing perhaps could remove consolidated_df, can iterate.
24Jul. Updated Algo Classification to not print. Added 4 New Lists to Dict.",,archive.py
extract_consolidated_raw_dataset,"Create a Consolidated Dataset of files in Dictionary, which are meant to be of the structure Process, Categorization, Word and Definition. Data set for the purposes, of aggregating totals and _____________. Used as a input for generate_objects_automated_py.","['df_dict', 'export_location']",Excel File,06-Jul-26,06-Jul-26,ETL,Excel File Creation,"df_dict = {
'Notes':notes_df,
'Definitions':definition_df,
'Knowledge Base':knowledge_base_df,
'Manual Objects':manual_object_df
}
extract_consolidated_raw_dataset(df_dict)",Definition,,archive.py
visualize_dataframe_in_notebook,Function which applies some modest formating to a Dataframe to increase visual astetic.,"['df', 'show_as_number', 'show_as_currency', 'show_as_currency_without_dec', 'show_as_percentage']",Object Type date_created: 27-Aug-26 date_last_modified: 27-Aug-26 classification:TBD sub_classification:TBD,,,,,visualize_dataframe_in_notebook(df),,,object_rendering.py
print_dict,Print Text from Dictionary into a structured output in Console.,"['d', 'indent']",None. Prints Structured Text in Console.,28-Aug-26,28-Aug-26,TBD,TBD,TBD,Developed for usage with Machine Learning Project.,None,object_rendering.py
create_short_form_ml_project_dict,Creates a formatted text representation of a wireframe dictionary for the Short Form ML Project Process.,['df'],"str: Formatted text containing a valid Python dictionary assignment that can be printed, displayed, or saved.",28-Aug-26,09-Sep-26,TBD,Object Rendering,short_form_text = create_short_form_ml_project_dict(),This function is slightly unique as it takes the DataFrame directly and converts it into a formatted dictionary representation. Solely used for the Short Form ML Project Process.,None,object_rendering.py
create_ml_dictionary_template,,[],,,,,,,,,object_rendering.py
create_baseline_dictionary_for_project,"Creates a formatted text representation of a dictionary that
can be used in a Notebook to track project completion.
Note that the ML Project requires an intermediary step because
the DataFrame is first processed in a unique way.","['d', 'dict_name', 'blank_keys']",str: Formatted text containing a valid Python dictionary assignment. print(baseline_text),09-Sep-26,09-Sep-26,TBD,Object Rendering,"baseline_text = create_baseline_dictionary_for_project(
my_dict,
dict_name='ml_project_dict',
blank_keys=[
'Project Requirement',
'Project Requirements'
]
)","Recursively processes nested dictionaries and lists.
Keys identified in blank_keys are returned with blank values.",None,object_rendering.py
visualize_dict_as_docx,"Convert a Python Dictionary Object into a visually appealing .docx document.
Primarily used to convert Short Form ML Projects or Machine Learning Projects to Stakeholders.","['data', 'output_file', 'split_pages']",docx,28-Aug-26,28-Aug-26,TBD,TBD,"visualize_dict_as_docx(short_form_dict,'text.docx')
visualize_dict_as_docx(base_dict,'text1.docx',True)",100% Created by GPT.,None,object_rendering.py
create_ml_dictionary_template,,[],,,,,,,,,ml_project.py
